GroupName,ContractDate,ContractPrice
Строительный надзор,2020-11-02,6439731642.07
Прочее,2018-07-20,6435476934.19
Строительный надзор,2018-11-23,6428597697.77
Прочее,2019-05-17,6418472565.97
Строительный надзор,2016-03-09,6412948485.04
Прочее,2018-04-06,6405250103.02
Проектно-изыскательские работы (ПИР),2021-04-19,6399075278.82
Прочее,2016-06-02,6393318337.22
Прочее,2016-06-07,6393234422.40
Прочее,2016-04-20,6390707497.10
Прочее,2020-01-09,6385578020.18
Прочее,2017-12-01,6370344790.70
Строительный надзор,2020-04-27,6364749192.54
Прочее,2021-10-12,6361350211.54
Прочее,2021-04-30,6353566133.41
Прочее,2020-04-14,6352830652.58
Прочее,2016-07-05,6347284682.28
Прочее,2020-10-23,6337531302.93
Строительный надзор,2016-12-22,6325222714.26
Строительный надзор,2019-12-03,6322786742.52
Строительный надзор,2017-05-02,6317492223.36
Прочее,2016-05-23,6316883511.50
Прочее,2018-12-10,6316786177.16
Прочее,2020-08-25,6298778459.25
Строительный надзор,2018-08-13,6286381713.05
Прочее,2020-05-21,6283969039.26
Прочее,2016-10-07,6282969704.69
Прочее,2018-11-19,6278117202.55
Прочее,2016-07-15,6271461507.08
Прочее,2019-08-01,6267663735.33
Прочее,2018-02-05,6262869261.54
Строительный надзор,2018-08-27,6256386740.93
Строительный надзор,2020-03-12,6245805680.90
Прочее,2016-12-05,6242968905.54
Прочее,2019-06-18,6240721175.97
Прочее,2020-03-04,6237995977.10
Прочее,2019-07-05,6235309409.92
Прочее,2021-12-06,6226850521.00
Прочее,2016-08-02,6225580257.00
Строительный надзор,2019-05-27,6215649077.17
Прочее,2018-10-15,6212863870.78
Строительно-монтажные работы (СМР),2016-06-06,6205018024.82
Строительный надзор,2019-12-23,6196942191.51
Прочее,2016-09-05,6193830197.86
Прочее,2020-09-07,6192714654.90
Строительный надзор,2016-07-19,6190334388.32
Строительный надзор,2020-05-25,6174141712.41
Прочее,2016-05-11,6164351578.30
Прочее,2017-02-07,6160448163.21
Проектно-изыскательские работы (ПИР),2017-12-19,6155548958.19
Строительный надзор,2017-11-08,6154772145.00
Прочее,2021-07-19,6141039098.44
Прочее,2020-11-17,6135363154.21
Прочее,2021-12-20,6132202730.62
Прочее,2016-09-06,6129995981.89
Строительный надзор,2018-05-28,6117824390.09
Строительный надзор,2019-09-25,6114747715.06
Строительный надзор,2017-09-08,6114641687.51
Прочее,2018-10-31,6087382750.57
Строительный надзор,2018-05-03,6086799853.36
Прочее,2020-07-24,6083225624.20
